wavelength,species,ep,gf,HD17051,HD28635,Vesta
6604.5781,21.1,1.357,-1.309,39.1,39,
4518.023,22,0.83,-0.27,63.8,61.1,
4562.64,22,0.02,-2.6,5.6,5.6,
4617.28,22,1.75,0.45,56.4,54.4,
4623.1,22,1.74,0.17,50.9,48.8,
4645.19,22,1.73,-0.666,15.7,14.6,
4656.47,22,0,-1.308,60.8,61.1,
4675.11,22,1.07,-0.939,28.8,28,
4758.118,22,2.249,0.481,35.7,34.1,
4759.269,22,2.256,0.57,39.1,37.7,
4778.258,22,2.236,-0.22,11.2,10.9,
4820.41,22,1.5,-0.39,33.4,32,
4840.88,22,0.9,-0.45,56.9,53.6,
4858.14,22,4.102,-0.14,26.6,23.8,
4997.1,22,0,-2.174,19.2,17,
4999.5,22,0.83,0.27,97.9,95,
5016.162,22,0.85,-0.52,54.5,52.1,
5022.866,22,0.826,-0.378,63.2,61.2,
5024.85,22,0.818,-0.56,61.8,59.7,
5039.96,22,0.02,-1.199,64.6,60.7,
5064.06,22,2.69,-0.471,3.7,4,
5071.49,22,1.46,-0.797,24.4,24,
5113.439,22,1.443,-0.727,18.8,18.2,
5147.477,22,0,-1.956,20.1,18.7,
5152.184,22,0.021,-1.968,22.5,21.9,
5192.97,22,0.02,-0.99,72.7,69.3,
5210.38,22,0.05,-0.85,77.6,75,
5223.62,22,2.092,-0.49,10.3,10.7,
5224.304,22,2.134,0.13,38.9,34,
5295.774,22,1.067,-1.577,8.4,8.3,
5299.98,22,1.05,-1.47,21.7,22.4,
5471.2,22,1.44,-1.4,5,5.4,
5490.147,22,1.46,-0.877,14.8,14.6,
5648.57,22,2.49,-0.41,7.1,7.4,
5662.147,22,2.318,0.01,20.5,18.2,
5689.459,22,2.297,-0.36,8.7,8.3,
5702.658,22,2.292,-0.59,4.3,3.7,
5766.33,22,3.29,0.326,8.1,7.9,
5866.452,22,1.066,-0.84,35.9,33.3,
5953.17,22,1.89,-0.27,30.3,29.9,
5965.84,22,1.88,-0.492,22.8,23.6,
5978.55,22,1.87,-0.602,16.6,15.9,
6064.63,22,1.05,-1.941,4.9,5.1,
6091.18,22,2.267,-0.37,10.4,10,
6126.217,22,1.066,-1.424,14.9,15.6,
6258.099,22,1.443,-0.299,39.8,39,
6258.7,22,1.46,-0.19,58.3,56.1,
6261.101,22,1.429,-0.479,38.1,35.3,
6312.234,22,1.46,-1.496,4.3,3.6,
4444.536,22.1,1.116,-2.21,69.9,69.5,
4583.4086,22.1,1.165,-2.87,33.1,34.3,
4609.2653,22.1,1.18,-3.43,15.3,15.9,
4636.32,22.1,1.165,-3.02,21.3,21.7,
4657.212,22.1,1.243,-2.32,57.6,56.9,
4708.6621,22.1,1.237,-2.37,54,54.4,
4719.533,22.1,1.243,-3.28,11.7,12.6,
4798.5315,22.1,1.08,-2.67,47.7,47.5,
4865.6114,22.1,1.116,-2.81,42.9,41.2,
4874.014,22.1,3.095,-0.8,41.5,42.5,
4911.2,22.1,3.12,-0.61,61.2,61,
5154.08,22.1,1.57,-1.75,84,83.3,
5211.53,22.1,2.59,-1.16,39.8,40.6,
5381.0211,22.1,1.566,-1.97,67.2,65.7,
5418.7675,22.1,1.582,-2.11,55.4,54.3,
5490.69,22.1,1.566,-2.43,25.1,25.6,
6606.979,22.1,2.061,-2.76,9.9,9.7,
4594.093,23,0.068,-2.096,32.8,30.4,
-4594.096,23,0.068,-2.548,0,0,
-4594.096,23,0.068,-1.978,0,0,
-4594.101,23,0.068,-3.548,0,0,
-4594.101,23,0.068,-2.337,0,0,
-4594.101,23,0.068,-1.86,0,0,
-4594.107,23,0.068,-3.342,0,0,
-4594.107,23,0.068,-2.241,0,0,
-4594.107,23,0.068,-1.748,0,0,
-4594.115,23,0.068,-3.313,0,0,
-4594.115,23,0.068,-2.205,0,0,
-4594.115,23,0.068,-1.644,0,0,
-4594.125,23,0.068,-3.393,0,0,
-4594.125,23,0.068,-2.221,0,0,
-4594.125,23,0.068,-1.548,0,0,
-4594.136,23,0.068,-3.585,0,0,
-4594.136,23,0.068,-2.303,0,0,
-4594.136,23,0.068,-1.458,0,0,
-4594.149,23,0.068,-3.974,0,0,
-4594.149,23,0.068,-2.521,0,0,
-4594.149,23,0.068,-1.374,0,0,
4875.462,23,0.04,-2.616,30.3,28.4,
-4875.464,23,0.04,-2.331,0,0,
-4875.464,23,0.04,-2.586,0,0,
-4875.468,23,0.04,-2.586,0,0,
-4875.468,23,0.04,-2.143,0,0,
-4875.468,23,0.04,-2.637,0,0,
-4875.474,23,0.04,-2.198,0,0,
-4875.474,23,0.04,-2.052,0,0,
-4875.474,23,0.04,-2.762,0,0,
-4875.481,23,0.04,-1.943,0,0,
-4875.481,23,0.04,-2.03,0,0,
-4875.481,23,0.04,-2.984,0,0,
-4875.491,23,0.04,-1.745,0,0,
-4875.491,23,0.04,-2.084,0,0,
-4875.491,23,0.04,-3.394,0,0,
-4875.503,23,0.04,-1.581,0,0,
-4875.503,23,0.04,-2.28,0,0,
-4875.517,23,0.04,-1.44,0,0,
4881.499,23,0.0686,-3.639,36.3,33.9,
-4881.5122,23,0.0686,-2.338,0,0,
-4881.522,23,0.0686,-3.241,0,0,
-4881.5259,23,0.0686,-1.33,0,0,
-4881.5327,23,0.0686,-2.127,0,0,
-4881.542,23,0.0686,-3.037,0,0,
-4881.5459,23,0.0686,-1.435,0,0,
-4881.5508,23,0.0686,-2.054,0,0,
-4881.5591,23,0.0686,-2.94,0,0,
-4881.562,23,0.0686,-1.551,0,0,
-4881.5659,23,0.0686,-2.048,0,0,
-4881.5728,23,0.0686,-2.94,0,0,
-4881.5752,23,0.0686,-1.68,0,0,
-4881.5781,23,0.0686,-2.095,0,0,
-4881.584,23,0.0686,-3.095,0,0,
-4881.585,23,0.0686,-1.826,0,0,
-4881.5869,23,0.0686,-2.2,0,0,
-4881.5928,23,0.0686,-1.996,0,0,
-4881.5928,23,0.0686,-2.396,0,0,
-4881.5972,23,0.0686,-2.2,0,0,
-4881.5977,23,0.0686,-2.463,0,0,
5670.832,23,1.08,-3.402,11.4,10.8,
-5670.832,23,1.08,-2.101,0,0,
-5670.832,23,1.08,-1.093,0,0,
-5670.844,23,1.08,-3.004,0,0,
-5670.844,23,1.08,-1.891,0,0,
-5670.844,23,1.08,-1.198,0,0,
-5670.854,23,1.08,-2.8,0,0,
-5670.854,23,1.08,-1.817,0,0,
-5670.854,23,1.08,-1.314,0,0,
-5670.863,23,1.08,-2.703,0,0,
-5670.863,23,1.08,-1.811,0,0,
-5670.863,23,1.08,-1.443,0,0,
-5670.87,23,1.08,-2.703,0,0,
-5670.87,23,1.08,-1.858,0,0,
-5670.87,23,1.08,-1.589,0,0,
-5670.875,23,1.08,-2.858,0,0,
-5670.875,23,1.08,-1.963,0,0,
-5670.875,23,1.08,-1.759,0,0,
-5670.878,23,1.08,-2.159,0,0,
-5670.878,23,1.08,-1.963,0,0,
-5670.88,23,1.08,-2.226,0,0,
5703.5552,23,1.0509,-0.779,21.6,20.9,
-5703.5688,23,1.0509,-0.995,0,0,
-5703.5688,23,1.0509,-1.405,0,0,
-5703.5796,23,1.0509,-1.244,0,0,
-5703.5796,23,1.0509,-1.278,0,0,
-5703.5811,23,1.0509,-2.27,0,0,
-5703.5889,23,1.0509,-1.717,0,0,
-5703.5889,23,1.0509,-1.252,0,0,
-5703.5898,23,1.0509,-1.842,0,0,
-5703.5962,23,1.0509,-1.592,0,0,
-5703.5962,23,1.0509,-1.416,0,0,
-5703.6011,23,1.0509,-1.416,0,0,
5727.027,23,1.081,-2.993,24.7,23.5,
-5727.027,23,1.081,-1.692,0,0,
-5727.027,23,1.081,-0.684,0,0,
-5727.039,23,1.081,-2.595,0,0,
-5727.039,23,1.081,-1.481,0,0,
-5727.039,23,1.081,-0.789,0,0,
-5727.049,23,1.081,-2.391,0,0,
-5727.049,23,1.081,-1.408,0,0,
-5727.049,23,1.081,-0.905,0,0,
-5727.058,23,1.081,-2.294,0,0,
-5727.058,23,1.081,-1.402,0,0,
-5727.058,23,1.081,-1.034,0,0,
-5727.065,23,1.081,-2.294,0,0,
-5727.065,23,1.081,-1.449,0,0,
-5727.065,23,1.081,-1.18,0,0,
-5727.07,23,1.081,-2.449,0,0,
-5727.07,23,1.081,-1.554,0,0,
-5727.07,23,1.081,-1.35,0,0,
-5727.074,23,1.081,-1.75,0,0,
-5727.074,23,1.081,-1.554,0,0,
-5727.076,23,1.081,-1.817,0,0,
5737.0269,23,1.0636,-1.382,8.3,7.7,
-5737.0366,23,1.0636,-2.081,0,0,
-5737.041,23,1.0636,-2.081,0,0,
-5737.0508,23,1.0636,-1.674,0,0,
-5737.0586,23,1.0636,-1.9,0,0,
-5737.063,23,1.0636,-1.9,0,0,
-5737.0708,23,1.0636,-2.08,0,0,
-5737.0771,23,1.0636,-1.869,0,0,
-5737.0801,23,1.0636,-1.869,0,0,
-5737.0859,23,1.0636,-2.797,0,0,
-5737.0908,23,1.0636,-1.933,0,0,
-5737.0928,23,1.0636,-1.933,0,0,
-5737.0977,23,1.0636,-4.04,0,0,
-5737.1006,23,1.0636,-2.132,0,0,
-5737.1035,23,1.0636,-2.132,0,0,
-5737.1055,23,1.0636,-2.387,0,0,
6039.727,23,1.063,-1.854,8.1,8.1,
-6039.729,23,1.063,-1.854,0,0,
-6039.73,23,1.063,-2.03,0,0,
-6039.733,23,1.063,-1.69,0,0,
-6039.733,23,1.063,-2.155,0,0,
-6039.734,23,1.063,-2.28,0,0,
-6039.738,23,1.063,-1.682,0,0,
-6039.738,23,1.063,-1.716,0,0,
-6039.739,23,1.063,-2.708,0,0,
-6039.744,23,1.063,-1.843,0,0,
-6039.744,23,1.063,-1.433,0,0,
-6039.751,23,1.063,-1.217,0,0,
6081.417,23,1.051,-1.66,10.4,10.2,
-6081.417,23,1.051,-1.484,0,0,
-6081.427,23,1.051,-1.484,0,0,
-6081.428,23,1.051,-1.359,0,0,
-6081.442,23,1.051,-1.359,0,0,
-6081.442,23,1.051,-1.677,0,0,
-6081.442,23,1.051,-1.472,0,0,
-6081.46,23,1.051,-1.472,0,0,
6090.199,23,1.08,-0.692,22.1,21,
-6090.207,23,1.08,-0.833,0,0,
-6090.213,23,1.08,-0.997,0,0,
-6090.213,23,1.08,-1.532,0,0,
-6090.218,23,1.08,-1.195,0,0,
-6090.218,23,1.08,-1.336,0,0,
-6090.223,23,1.08,-1.45,0,0,
-6090.223,23,1.08,-1.282,0,0,
-6090.225,23,1.08,-2.646,0,0,
-6090.226,23,1.08,-1.304,0,0,
-6090.227,23,1.08,-1.838,0,0,
-6090.228,23,1.08,-2.236,0,0,
-6090.229,23,1.08,-1.394,0,0,
-6090.231,23,1.08,-1.583,0,0,
-6090.231,23,1.08,-2.014,0,0,
-6090.232,23,1.08,-1.889,0,0,
-6090.233,23,1.08,-1.868,0,0,
-6090.233,23,1.08,-1.838,0,0,
6135.3418,23,1.0509,-1.552,6.1,5.9,
-6135.3418,23,1.0509,-1.531,0,0,
-6135.3428,23,1.0509,-1.677,0,0,
-6135.3818,23,1.0509,-2.008,0,0,
-6135.3818,23,1.0509,-1.531,0,0,
-6135.3833,23,1.0509,-1.21,0,0,
6199.155,23,0.286,-1.958,9.8,9.2,
-6199.173,23,0.286,-2.063,0,0,
-6199.188,23,0.286,-2.179,0,0,
-6199.203,23,0.286,-2.308,0,0,
-6199.207,23,0.286,-2.966,0,0,
-6199.215,23,0.286,-2.454,0,0,
-6199.218,23,0.286,-2.755,0,0,
-6199.226,23,0.286,-2.624,0,0,
-6199.227,23,0.286,-2.682,0,0,
-6199.235,23,0.286,-2.676,0,0,
-6199.236,23,0.286,-2.828,0,0,
-6199.241,23,0.286,-2.723,0,0,
-6199.244,23,0.286,-3.091,0,0,
-6199.246,23,0.286,-2.828,0,0,
-6199.249,23,0.286,-3.024,0,0,
-6199.252,23,0.286,-4.267,0,0,
-6199.256,23,0.286,-3.869,0,0,
-6199.259,23,0.286,-3.723,0,0,
-6199.259,23,0.286,-3.665,0,0,
-6199.26,23,0.286,-3.568,0,0,
-6199.261,23,0.286,-3.568,0,0,
6216.3252,23,0.2753,-1.46,31.6,30.3,
-6216.3428,23,0.2753,-1.601,0,0,
-6216.3579,23,0.2753,-1.765,0,0,
-6216.3721,23,0.2753,-2.3,0,0,
-6216.3721,23,0.2753,-1.963,0,0,
-6216.3828,23,0.2753,-2.104,0,0,
-6216.3843,23,0.2753,-2.218,0,0,
-6216.3921,23,0.2753,-2.05,0,0,
-6216.3955,23,0.2753,-2.606,0,0,
-6216.3989,23,0.2753,-2.072,0,0,
-6216.4038,23,0.2753,-2.163,0,0,
-6216.4082,23,0.2753,-2.351,0,0,
-6216.4111,23,0.2753,-3.414,0,0,
-6216.415,23,0.2753,-2.636,0,0,
-6216.416,23,0.2753,-3.004,0,0,
-6216.418,23,0.2753,-2.606,0,0,
-6216.418,23,0.2753,-2.782,0,0,
-6216.4189,23,0.2753,-2.657,0,0,
6224.4609,23,0.2866,-3.519,26.7,25.6,
-6224.4707,23,0.2866,-3.315,0,0,
-6224.48,23,0.2866,-3.25,0,0,
-6224.4893,23,0.2866,-3.257,0,0,
-6224.4961,23,0.2866,-2.616,0,0,
-6224.4961,23,0.2866,-3.323,0,0,
-6224.501,23,0.2866,-2.803,0,0,
-6224.5029,23,0.2866,-3.461,0,0,
-6224.5049,23,0.2866,-3.022,0,0,
-6224.5078,23,0.2866,-3.285,0,0,
-6224.5098,23,0.2866,-3.741,0,0,
-6224.5112,23,0.2866,-3.616,0,0,
-6224.5127,23,0.2866,-4.063,0,0,
-6224.5146,23,0.2866,-4.762,0,0,
-6224.5205,23,0.2866,-3.741,0,0,
-6224.5239,23,0.2866,-3.461,0,0,
-6224.5283,23,0.2866,-3.323,0,0,
-6224.5312,23,0.2866,-3.257,0,0,
-6224.5332,23,0.2866,-3.25,0,0,
-6224.5342,23,0.2866,-3.315,0,0,
-6224.5352,23,0.2866,-3.519,0,0,
6251.771,23,0.286,-2.924,8,7.4,
-6251.788,23,0.286,-2.72,0,0,
-6251.804,23,0.286,-2.655,0,0,
-6251.806,23,0.286,-2.021,0,0,
-6251.817,23,0.286,-2.662,0,0,
-6251.818,23,0.286,-2.208,0,0,
-6251.829,23,0.286,-2.728,0,0,
-6251.829,23,0.286,-2.427,0,0,
-6251.837,23,0.286,-2.69,0,0,
-6251.839,23,0.286,-2.866,0,0,
-6251.844,23,0.286,-3.021,0,0,
-6251.848,23,0.286,-3.146,0,0,
-6251.849,23,0.286,-3.468,0,0,
-6251.853,23,0.286,-4.167,0,0,
-6251.853,23,0.286,-2.924,0,0,
-6251.859,23,0.286,-3.146,0,0,
-6251.859,23,0.286,-2.72,0,0,
-6251.862,23,0.286,-2.655,0,0,
-6251.863,23,0.286,-2.866,0,0,
-6251.864,23,0.286,-2.728,0,0,
-6251.864,23,0.286,-2.662,0,0,
6285.098,23,0.275,-3.568,6.8,6,
-6285.117,23,0.275,-3.14,0,0,
-6285.122,23,0.275,-2.703,0,0,
-6285.134,23,0.275,-2.89,0,0,
-6285.137,23,0.275,-2.542,0,0,
-6285.148,23,0.275,-2.714,0,0,
-6285.149,23,0.275,-2.55,0,0,
-6285.152,23,0.275,-2.077,0,0,
-6285.157,23,0.275,-2.714,0,0,
-6285.162,23,0.275,-2.293,0,0,
-6285.168,23,0.275,-2.576,0,0,
-6285.172,23,0.275,-3.015,0,0,
4535.1268,24,2.544,-0.993,26.2,26.9,
4541.0601,24,2.545,-1.143,24.4,21.9,
4545.945,24,0.94,-1.31,83.2,81.1,
4575.11,24,3.37,-1.004,8.7,8.6,
4600.75,24,1,-1.457,77.7,75.3,
4626.18,24,0.97,-1.467,79.6,78.7,
4700.5988,24,2.71,-1.255,10.4,10.3,
4708.0174,24,3.168,0.09,51.4,51.2,
4730.72,24,3.08,-0.345,40.4,40.4,
4745.2702,24,2.708,-1.38,11.9,11.4,
4767.86,24,3.56,-0.599,15.3,14.2,
4775.14,24,3.55,-1.025,7.2,7.5,
4789.3401,24,2.544,-0.348,60.5,59.5,
4801.0477,24,3.122,-0.131,47.8,46.6,
4885.7334,24,2.544,-1.055,23,22.4,
4936.3355,24,3.113,-0.237,41,41.2,
4953.7144,24,3.122,-1.48,3.6,3.8,
5214.14,24,3.37,-0.784,13.8,14.7,
5220.9127,24,3.385,-0.89,8.7,8.7,
5238.96,24,2.71,-1.43,12.4,12.6,
5272.0079,24,3.449,-0.421,21.1,20.7,
5287.2011,24,3.438,-0.888,9.1,9.3,
5296.691,24,0.983,-1.41,84.9,84.1,
5297.39,24,2.9,0,86.1,83.7,
5480.51,24,3.5,-0.92,9.6,10,
5781.1632,24,3.011,-1,12.3,12.6,
5783.073,24,3.232,-0.48,27.9,26.9,
5783.87,24,3.322,-0.29,39.2,37.6,
5785.0243,24,3.321,-0.38,29.5,29.3,
5787.93,24,3.322,-0.08,44.3,44.7,
6330.1,24,0.941,-2.9,17.9,16.9,
6661.08,24,4.19,-0.234,12.5,11.2,
6882.4772,24,3.438,-0.375,30.9,28.5,
4588.1997,24.1,4.071,-0.594,86.8,86.7,
4592.05,24.1,4.071,-1.252,59.4,60.3,
4616.628,24.1,4.073,-1.21,60.3,60.9,
4848.2365,24.1,3.864,-1.16,70.1,71.2,
4884.61,24.1,3.86,-2.069,26,27.5,
5237.328,24.1,4.073,-1.087,66.4,67.5,
5279.8769,24.1,4.073,-1.909,30,30.1,
5502.0678,24.1,4.168,-2.049,27.9,28.5,
4502.2041,25,2.9197,-0.61,50.9,50,
-4502.207,25,2.9197,-1.528,0,0,
-4502.208,25,2.9197,-2.745,0,0,
-4502.2109,25,2.9197,-0.75,0,0,
-4502.2129,25,2.9197,-2.393,0,0,
-4502.2129,25,2.9197,-1.352,0,0,
-4502.2158,25,2.9197,-0.908,0,0,
-4502.2173,25,2.9197,-1.326,0,0,
-4502.2178,25,2.9197,-2.268,0,0,
-4502.2197,25,2.9197,-2.347,0,0,
-4502.2197,25,2.9197,-1.393,0,0,
-4502.2197,25,2.9197,-1.092,0,0,
-4502.2222,25,2.9197,-1.569,0,0,
-4502.2222,25,2.9197,-1.314,0,0,
-4502.2227,25,2.9197,-1.599,0,0,
4671.6582,25,2.8884,-2.227,10.2,9.6,
-4671.665,25,2.8884,-3.145,0,0,
-4671.6709,25,2.8884,-4.362,0,0,
-4671.6758,25,2.8884,-2.367,0,0,
-4671.6821,25,2.8884,-2.969,0,0,
-4671.686,25,2.8884,-4.01,0,0,
-4671.6899,25,2.8884,-2.525,0,0,
-4671.6948,25,2.8884,-2.943,0,0,
